aɪ
aʊ
b
d
eɪ
f
h
iː
j
k
kʰ
l
m
n
oʊ
p
pʰ
s
t
tʃ
tʰ
u
v
w
x
z
æ
ð
ŋ
ɑ
ɔ
ɔɪ
ə
ɛ
ɛə
ɟʝ
ɡ
ɪ
ɫ
ɻ
ʃ
ʊ
ʌ
ʒ
θ
