ɑ
ɛ
i
ɔ
u
m
n
ɲ
ŋ
mb
nd
n̠d̠ʒ
ŋɡ
ɓ
ɗ
ɗʒ
ɠ
p
t
tʃ
k
pʰ
tʰ
tʃʰ
kʰ
ɱv
nz
v
ð
z
ɣ
f
θ
s
ʃ
x
h
r
l
j
w
