wav_idx	wav_path	wav_nsamp
121	eng-f2/tesh-1.wav	13833
140	hin-m/d-dental-breathy.wav	9506
242	eng-m1/eth-0.wav	13925
267	eng-f1/f-0.wav	14595
261	eng-m1/v-0.wav	13533
244	eng-m1/f-0.wav	14904
91	eng-f2/k-aspirated-1.wav	9322
268	eng-f1/h-0.wav	14007
283	eng-f1/theta-0.wav	16528
11	eng-m2/f-2.wav	11512
119	eng-f2/t-aspirated-2.wav	10591
102	eng-f2/p-0.wav	8397
35	eng-m2/p-2.wav	8301
57	eng-m2/theta-0.wav	12000
169	hun-f/c-aspirated.wav	10182
65	eng-m2/w-2.wav	10303
1	eng-m2/esh-1.wav	13804
120	eng-f2/tesh-0.wav	9444
253	eng-m1/p-aspirated-0.wav	10037
186	hun-f/r-dental.wav	13178
42	eng-m2/s-0.wav	13259
105	eng-f2/p-aspirated-0.wav	9493
132	eng-f2/w-0.wav	10472
271	eng-f1/k-aspirated-0.wav	11975
17	eng-m2/j-2.wav	10085
38	eng-m2/p-aspirated-2.wav	8279
133	eng-f2/w-1.wav	11282
53	eng-m2/tesh-2.wav	10171
164	hin-m/t-retroflex-aspirated.wav	7255
272	eng-f1/l-0.wav	12060
128	eng-f2/theta-2.wav	12924
34	eng-m2/p-1.wav	8441
28	eng-m2/m-1.wav	10801
183	hun-f/n-dental.wav	12296
114	eng-f2/t-0.wav	7590
163	hin-m/t-dental.wav	7304
151	hin-m/j.wav	9276
250	eng-m1/m-0.wav	12338
31	eng-m2/n-1.wav	10329
259	eng-m1/tesh-aspirated-0.wav	13515
127	eng-f2/theta-1.wav	12356
185	hun-f/p-aspirated.wav	9460
276	eng-f1/p-aspirated-0.wav	12378
241	eng-m1/esh-0.wav	13952
32	eng-m2/n-2.wav	11019
167	hin-m/tesh.wav	6458
142	hin-m/d-retroflex-breathy.wav	8220
263	eng-m1/z-0.wav	13902
147	hin-m/f.wav	9496
29	eng-m2/m-2.wav	10023
177	hun-f/h.wav	11100
264	eng-f1/esh-0.wav	14861
99	eng-f2/n-0.wav	9955
82	eng-f2/h-1.wav	10573
192	hun-f/z.wav	11892
175	hun-f/f.wav	12020
79	eng-f2/f-1.wav	11675
