"p"
"b"
"k"
"ɡ"
"ʔ"
"s"
"f"
"r"
"l"
"j"
"m"
"ɑ"
"t̠ʃ"
"ɖ"
"eː"
"iː"
"oː"
"uː"
"d̠ʒ"
"ɪ"
"ʊ"
"ɪ̃"
"ʊ̃"
"z"
"aː"
"ʒ"
"d̪"
"q"
"χ"
"t̪"
"n̪"
"kʰ"
"pʰ"
"ʈ"
"ɦ"
"ɡː"
"bː"
"d̠ʒː"
"fː"
"jː"
"kː"
"lː"
"mː"
"pː"
"sː"
"t̠ʃː"
"t̠ʃʰ"
"ʁ"
"ʃː"
"rː"
"zː"
"ĩː"
"ẽː"
"ãː"
"õː"
"ɜ"
"t̪ʰ"
"ũː"
"ʈʰ"
"d̪ː"
"kʰː"
"t̪ʰː"
"t̠ʃʰː"
"qː"
"t̪ː"
"b̤"
"d̪̤"
"ɔ̤"
"ɖ̤"
"m̤"
"l̤"
"ʂ"
"ɡ̤"
"d̠ʒ̤"
"n̪̤"
"ʋ"
"ʈː"
"ɪ̈"
"ɽ̃"
"ʋː"
"ɜ̃"
"ʈʰː"
"ɡ̤ː"
"æe̯"
"æẽ̯"
"b̤ː"
"d̪̤ː"
"ɖː"
"ɖ̤ː"
"d̠ʒ̤ː"
"n̪ː"
"ɔo̯"
"ɔõ̯"
"pʰː"
