"pʰ"
"pʰː"
"p"
"pː"
"b"
"b̤"
"bː"
"b̤ː"
"t̪ʰ"
"t̪ʰː"
"t̪"
"t̪ː"
"d̪"
"d̪ː"
"d̪̤"
"d̪̤ː"
"t̠ʃ"
"d̠ʒ"
"d̠ʒː"
"t̠ʃː"
"t̠ʃʰ"
"t̠ʃʰː"
"d̠ʒ̤"
"d̠ʒ̤ː"
"ʈʰ"
"ʈʰː"
"ʈ"
"ʈː"
"ɖ"
"ɖ̤"
"ɖː"
"ɖ̤ː"
"kʰː"
"k"
"kː"
"kʰ"
"ɡ"
"ɡ̤"
"ɡː"
"ɡ̤ː"
"q"
"qː"
"ʔ"
"f"
"fː"
"s"
"sː"
"z"
"zː"
"ʃː"
"ʒ"
"ʂ"
"χ"
"ʁ"
"ɦ"
"m"
"m̤"
"mː"
"n̪"
"n̪̤"
"n̪ː"
"ʋ"
"ʋː"
"r"
"rː"
"ɽ̃"
"l"
"l̤"
"lː"
"j"
"jː"
"ɑ"
"eː"
"iː"
"oː"
"uː"
"ɪ"
"ʊ"
"ɪ̃"
"ʊ̃"
"aː"
"ĩː"
"ẽː"
"ãː"
"õː"
"ɜ"
"ũː"
"ɔ̤"
"ɪ̈"
"ɜ̃"
"æe̯"
"æẽ̯"
"ɔo̯"
"ɔõ̯"
