segment	consonantal	sonorant	continuant	delayedRelease	approximant	nasal	lateral	labial	labiodental	coronal	anterior	distributed	strident	dorsal	periodicGlottalSource	spreadGlottis
ãː	0	1	1	0	1	1	0	0	0	0	0	0	0	1	1	0
ʈʂ	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0
b̤	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
cʰ	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1
bː	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
sː	1	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0
ɱv	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0
dʒ	1	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0
nz	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0
pː	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
tː	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
ɡː	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
œ	0	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0
õː	0	1	1	0	1	1	0	1	0	0	0	0	0	1	1	0
jː	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0
ɹ	0	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0
d̪̤	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1
ɖ̤	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
ɒ	0	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0
ɻ	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0
rː	1	1	1	0	1	0	0	0	0	1	1	0	0	0	1	0
dː	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0
ẽː	0	1	1	0	1	1	0	0	0	0	0	0	0	1	1	0
ɲː	1	1	0	0	0	1	0	0	0	1	0	1	0	1	1	0
ɲɟ	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0
ʋ	0	1	1	0	1	0	0	1	1	0	0	0	0	0	1	0
fː	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0
ɜ	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0
t̠ʃː	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0
ʃː	1	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0
ɕ	1	0	1	1	0	0	0	0	0	1	1	1	1	1	0	0
tɕ	1	0	0	1	0	0	0	0	0	1	1	1	1	1	0	0
d̠ʒː	1	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0
m̤	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1
zː	1	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0
ɠ	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
ʈʂʰ	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1
ɡ̤	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
ɱ	1	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0
tʃʰ	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1
l̤	1	1	1	0	1	0	1	0	0	1	1	0	0	0	1	1
t̪ː	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
ɔ̤	0	1	1	0	1	0	0	1	0	0	0	0	0	1	1	1
ɟː	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0
d̠ʒ̤	1	0	0	1	0	0	0	0	0	1	0	1	1	0	1	1
bʱ	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
ʈː	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ʀ	1	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0
hː	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1
d̪ː	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0
ɽ̤	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	1
n̪̤	1	1	0	0	0	1	0	0	0	1	1	1	0	0	1	1
qː	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
cː	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0
ɖː	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
tɕʰ	1	0	0	1	0	0	0	0	0	1	1	1	1	1	0	1
tsː	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0
vː	1	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0
ɜ̃	0	1	1	0	1	1	0	0	0	0	0	0	0	1	1	0
ɽ̃	1	1	1	0	1	1	0	0	0	1	0	0	0	0	1	0
ɪ̈	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0
kʰː	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
aɪ	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0
t̠ʃʰː	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1
ʈʰː	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
n̪ː	1	1	0	0	0	1	0	0	0	1	1	1	0	0	1	0
ɗʒ	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
eɪ	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0
aʊ	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0
ɛə	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0
ɔɪ	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0
pʰː	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
t̪ʰː	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1
ɫ	1	1	1	0	1	0	1	0	0	1	1	0	0	1	1	0
ɡ̤ː	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
d̠ʒ̤ː	1	0	0	1	0	0	0	0	0	1	0	1	1	0	1	1
b̤ː	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
æẽ̯	0	1	1	0	1	1	0	0	0	0	0	0	0	1	1	0
oʊ	0	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0
ʋː	0	1	1	0	1	0	0	1	1	0	0	0	0	0	1	0
ɖ̤ː	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
ɔõ̯	0	1	1	0	1	1	0	1	0	0	0	0	0	1	1	0
æe̯	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0
ɔo̯	0	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0
d̪̤ː	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1
