phone,syllable,word,highlight,translation
p,ba,bought,bou,
pʰ,pa,pot,po,
t,da,dot,do,
tʰ,ta,taught,tau,
k,ga,got,go,
kʰ,ka,caught,cau,
t̠ʃ,ja,job,jo,
t̠ʃʰ,cha,chocolate,cho,
m,ma,mop,mo,
n,na,naughty,nau,
ŋ,nga,,,
f,fa,fought,fou,
v,va,vaudeville,vau,
θ,tha,thought,thou,
ð,tha,thou,tho,
s,sa,saw,sa,
z,za,zombie,zo,
ʃ,sha,shopping,sho,
ʒ,zha,Azerbaijan,ja,
h,ha,hot,ho,
ɹ,ra,rot,ro,
j,ya,yacht,ya,
w,wa,watt,wa,
l,la,latte,la,
